id,ime,naslov,bancna
974,Vale Muzzlewhite,49 Donald Road,3533768379047881
975,Berti Jaffray,1671 Oriole Circle,676136505787058959
976,Fernandina Pearn,3 Chinook Court,67632988641959193
977,Ken Bassam,73840 Schmedeman Crossing,589385844299659084
978,Minnnie Linger,36 Bashford Place,30436442073292
979,Latia Hanaby,64431 Bellgrove Avenue,4041378909611611
980,Anya Ponten,931 Glacier Hill Circle,3565819649186404
981,Nester Simoni,58940 Mcguire Street,676700394496235877
982,Nero Gheorghie,47 Hovde Pass,5285243195152211
983,Malia Tissiman,664 Myrtle Terrace,3571578819555069
984,Laurie Dignall,2966 Elka Avenue,5100145234508332
985,Rebekkah Crosio,2181 Gerald Parkway,3587227017330543
986,Ceil Urian,6878 Maywood Road,5010121543502422
987,Faydra Addess,34106 Hayes Center,50208316251525684
988,Claybourne Hedley,2 Stoughton Center,3528698490985528
989,Moe Dedmam,1 Oneill Park,3560757490001253
990,Jammie Haizelden,3085 Steensland Road,4275794425608963
991,Carri Matiebe,51636 Doe Crossing Point,4917581013192482
992,Vernon Dormer,79 Annamark Junction,4041591265509
993,Dietrich Hartill,735 Kenwood Circle,5111298779471189
994,Neysa Peak,418 Gateway Lane,5602211261517696
995,Domini Major,82735 Southridge Circle,3589431064452972
996,Glen Le febre,76537 Sunbrook Pass,633110991473579576
997,Dominick Copas,55228 Dapin Lane,3545849168675870
998,Fanni Besantie,999 Warner Street,5602213271028201
999,Eunice Brydell,91047 Bartillon Crossing,30080597012133
1000,Janna Mackrell,0875 Old Shore Alley,3565144740183238
